entity_id,entity_type,timestamp,ip,geo_location,device_fingerprint,os,browser,resource_accessed,http_method,authentication_method,session_duration,command_sequence,label,anomaly_type
f5012b14-ccf5-49c0-a723-570f51940c15,SERVICE_ACCOUNT,2026-06-26 22:33:49.313320,143.90.166.212,"East Eric, Ethiopia",c4763db8-45a2-46e3-87fa-ac807390d752,Windows 10,Firefox,/api/data/view,GET,SSO,9,cmd_4 -> cmd_13,0,None
e23cc6d9-1c24-4d1c-b7c0-496496657d7e,SERVICE_ACCOUNT,2026-06-26 22:35:10.313320,216.91.6.215,"North Andrew, Botswana",b1ff62fd-3bd2-4cc0-bfb4-fde1fd7a0e6c,Windows 11,Firefox,/api/dashboard,GET,Password,32,cmd_7 -> cmd_17,0,None
5304d470-c1b2-4d5e-83f4-952a4b2b66aa,USER,2026-06-26 22:35:17.313320,53.228.181.110,"New Robert, Suriname",1d225a5b-2634-48b4-a1d6-254d8694e0d3,Windows 11,Firefox,/login,GET,OAuth,19,cmd_6 -> cmd_11,0,None
f995a87e-cf20-402f-a133-b1b9c540f209,SERVICE_ACCOUNT,2026-06-26 22:35:24.313320,132.43.209.120,"Mcbrideport, Lesotho",db680c38-0a1c-411c-858b-9df40d0e105c,Android,Edge,/api/settings,GET,MFA,37,cmd_4 -> cmd_12,0,None
c8df5b91-9225-4ca9-a294-47cabcb31364,USER,2026-06-26 22:35:42.313320,187.212.158.109,"Jamesmouth, Nauru",5a79a3ad-9f61-480a-8bba-c1a453af9ee9,Windows 11,Edge,/api/data/view,GET,Password,25,cmd_1 -> cmd_11,0,None
00b50ada-a339-4659-b4e5-2a17c12dc2a3,USER,2026-06-26 22:40:04.313320,176.95.81.10,"South Victoria, Vanuatu",f816fc38-4951-4e77-82ea-c771892becce,Windows 11,Safari,/api/settings,POST,Password,54,cmd_8 -> cmd_18,0,None
34a8f6cd-ced5-4f2e-aa42-353543b78e4e,USER,2026-06-26 22:40:29.313320,180.249.55.240,"East Lee, Slovenia",56fc7303-4720-4b31-a291-af2094296dba,Linux,Firefox,/api/dashboard,POST,SSO,44,cmd_6 -> cmd_19,0,None
6fa6a9f6-4647-4267-95eb-85373a4aafee,USER,2026-06-26 22:42:00.313320,49.57.138.243,"Lake Lindseymouth, Luxembourg",6386516a-1d19-4d04-9743-926366a3b3b2,Android,Firefox,/api/dashboard,GET,MFA,14,cmd_6 -> cmd_19,0,None
dd0b4e14-1d32-4329-b2a5-06b6216b9d3c,USER,2026-06-26 22:45:35.313320,77.113.116.74,"New Tara, Micronesia",1bb12e0a-a9f6-42dc-886c-1dcbd6a47fe6,Android,Safari,/api/dashboard,GET,OAuth,36,cmd_3 -> cmd_19,0,None
dc41c9fe-fb24-4898-812b-8bebe6e3e449,SERVICE_ACCOUNT,2026-06-26 22:46:27.313320,185.149.151.193,"West Luiston, Maldives",2514f8ec-e4cb-434b-8f5f-6c6adf2d8a51,Windows 10,Chrome,/api/data/view,GET,Password,19,cmd_3 -> cmd_12,0,None
